fps,smpl_params_global_global_orient_0,smpl_params_global_global_orient_1,smpl_params_global_global_orient_2,smpl_params_global_body_pose_0,smpl_params_global_body_pose_1,smpl_params_global_body_pose_2,smpl_params_global_body_pose_3,smpl_params_global_body_pose_4,smpl_params_global_body_pose_5,smpl_params_global_body_pose_6,smpl_params_global_body_pose_7,smpl_params_global_body_pose_8,smpl_params_global_body_pose_9,smpl_params_global_body_pose_10,smpl_params_global_body_pose_11,smpl_params_global_body_pose_12,smpl_params_global_body_pose_13,smpl_params_global_body_pose_14,smpl_params_global_body_pose_15,smpl_params_global_body_pose_16,smpl_params_global_body_pose_17,smpl_params_global_body_pose_18,smpl_params_global_body_pose_19,smpl_params_global_body_pose_20,smpl_params_global_body_pose_21,smpl_params_global_body_pose_22,smpl_params_global_body_pose_23,smpl_params_global_body_pose_24,smpl_params_global_body_pose_25,smpl_params_global_body_pose_26,smpl_params_global_body_pose_27,smpl_params_global_body_pose_28,smpl_params_global_body_pose_29,smpl_params_global_body_pose_30,smpl_params_global_body_pose_31,smpl_params_global_body_pose_32,smpl_params_global_body_pose_33,smpl_params_global_body_pose_34,smpl_params_global_body_pose_35,smpl_params_global_body_pose_36,smpl_params_global_body_pose_37,smpl_params_global_body_pose_38,smpl_params_global_body_pose_39,smpl_params_global_body_pose_40,smpl_params_global_body_pose_41,smpl_params_global_body_pose_42,smpl_params_global_body_pose_43,smpl_params_global_body_pose_44,smpl_params_global_body_pose_45,smpl_params_global_body_pose_46,smpl_params_global_body_pose_47,smpl_params_global_body_pose_48,smpl_params_global_body_pose_49,smpl_params_global_body_pose_50,smpl_params_global_body_pose_51,smpl_params_global_body_pose_52,smpl_params_global_body_pose_53,smpl_params_global_body_pose_54,smpl_params_global_body_pose_55,smpl_params_global_body_pose_56,smpl_params_global_body_pose_57,smpl_params_global_body_pose_58,smpl_params_global_body_pose_59,smpl_params_global_body_pose_60,smpl_params_global_body_pose_61,smpl_params_global_body_pose_62,smpl_params_global_transl_0,smpl_params_global_transl_1,smpl_params_global_transl_2,smpl_params_global_betas_0,smpl_params_global_betas_1,smpl_params_global_betas_2,smpl_params_global_betas_3,smpl_params_global_betas_4,smpl_params_global_betas_5,smpl_params_global_betas_6,smpl_params_global_betas_7,smpl_params_global_betas_8,smpl_params_global_betas_9
50.0,1.1246402263641357,-1.1383694410324097,-1.1948859691619873,-0.44627705216407776,-0.03281402587890625,0.2337655872106552,-0.43947717547416687,-0.014277616515755653,-0.2714517116546631,0.36937054991722107,0.027849214151501656,-0.0218780767172575,0.8875616192817688,-0.10816167294979095,-0.17197753489017487,0.9950702786445618,0.031416770070791245,0.1564626842737198,-0.17612692713737488,-0.007887701503932476,0.024202726781368256,-0.3597027063369751,0.1526772379875183,0.09816022962331772,-0.39647340774536133,-0.04001577943563461,-0.01974065974354744,0.14385773241519928,0.0085615748539567,0.007629303261637688,-0.017451127991080284,-0.03336312994360924,0.039967842400074005,-0.02413804456591606,0.024556413292884827,0.04953430965542793,-0.12565094232559204,0.06485411524772644,-0.022146673873066902,-0.12754791975021362,-0.21084973216056824,-0.15952946245670319,-0.13931089639663696,0.32538527250289917,0.19643288850784302,-0.03720483556389809,-0.11275889724493027,-0.042601265013217926,-0.026092754676938057,-0.5023850798606873,-0.8539722561836243,-0.008041810244321823,0.5167193412780762,0.722067654132843,-0.12819232046604156,-0.9396007657051086,0.11584483087062836,-0.17994892597198486,0.8351828455924988,-0.07522694021463394,-0.36337709426879883,-0.08405327796936035,0.5222144722938538,-0.2591516077518463,0.1297145038843155,-0.386656790971756,-0.011924474500119686,-0.022880923002958298,1.195694088935852,0.1804552525281906,-0.0011900067329406738,0.825340211391449,-0.6891173124313354,-0.3268665671348572,-0.5412237048149109,0.021030664443969727,-0.4609655439853668,-0.46983033418655396,-0.06716316938400269
50.0,1.12519109249115,-1.1377465724945068,-1.1906590461730957,-0.4264127016067505,-0.035103779286146164,0.22161108255386353,-0.4292294383049011,-0.012690169736742973,-0.26256296038627625,0.360179603099823,0.02708330750465393,-0.02281195856630802,0.8603464961051941,-0.10737276077270508,-0.16919560730457306,0.9711892008781433,0.02885599434375763,0.15098270773887634,-0.1762169897556305,-0.00766584649682045,0.0232277512550354,-0.3578503131866455,0.14569130539894104,0.09700848162174225,-0.3786466717720032,-0.047266632318496704,-0.015805553644895554,0.1431252807378769,0.00764702120795846,0.00776340626180172,-0.018008965998888016,-0.033449627459049225,0.04038297012448311,-0.023800650611519814,0.0246780626475811,0.04915425553917885,-0.1293245404958725,0.06210818514227867,-0.020056361332535744,-0.1204744279384613,-0.20549026131629944,-0.1602165699005127,-0.13432800769805908,0.3175100088119507,0.1995868682861328,-0.03673877194523811,-0.10926158726215363,-0.04179912433028221,-0.019695736467838287,-0.49834588170051575,-0.8602948784828186,-0.0021482608281075954,0.5089061856269836,0.7257111668586731,-0.1208530142903328,-0.9362866282463074,0.10858377069234848,-0.17486192286014557,0.8353873491287231,-0.07354732602834702,-0.3643259108066559,-0.08567065745592117,0.5214173793792725,-0.2569164037704468,0.13480889797210693,-0.3864819407463074,-0.015391938388347626,-0.03082337975502014,1.201920986175537,0.1804552525281906,-0.0011900067329406738,0.825340211391449,-0.6891173124313354,-0.3268665671348572,-0.5412237048149109,0.021030664443969727,-0.4609655439853668,-0.46983033418655396,-0.06716316938400269
50.0,1.1270010471343994,-1.1367976665496826,-1.1877198219299316,-0.40330514311790466,-0.03726784884929657,0.2094016671180725,-0.41361406445503235,-0.011415021494030952,-0.2508077621459961,0.3484043776988983,0.026517780497670174,-0.02397264912724495,0.8271368741989136,-0.1070452481508255,-0.16446547210216522,0.9388646483421326,0.02594797872006893,0.14563627541065216,-0.17500989139080048,-0.007860051468014717,0.022368889302015305,-0.35141274333000183,0.13879479467868805,0.09382924437522888,-0.360243558883667,-0.05264562368392944,-0.011640944518148899,0.1420803666114807,0.006828192621469498,0.008374584838747978,-0.018431827425956726,-0.03362413868308067,0.041016194969415665,-0.02359026111662388,0.0248209647834301,0.04866531118750572,-0.13101261854171753,0.059046752750873566,-0.018115149810910225,-0.11267340183258057,-0.1986577957868576,-0.16308586299419403,-0.12852263450622559,0.307993084192276,0.20484568178653717,-0.03545060753822327,-0.10420280694961548,-0.040354128926992416,-0.011317417025566101,-0.4906739294528961,-0.8686285018920898,0.005531653296202421,0.4991796016693115,0.7323048114776611,-0.11399330943822861,-0.9301239252090454,0.1006118431687355,-0.1683511584997177,0.8341050148010254,-0.07167590409517288,-0.3644019365310669,-0.08892156928777695,0.5176392793655396,-0.25305473804473877,0.14006608724594116,-0.3831435739994049,-0.019088001921772957,-0.03945702314376831,1.2097384929656982,0.1804552525281906,-0.0011900067329406738,0.825340211391449,-0.6891173124313354,-0.3268665671348572,-0.5412237048149109,0.021030664443969727,-0.4609655439853668,-0.46983033418655396,-0.06716316938400269
50.0,1.131335735321045,-1.1351983547210693,-1.187354564666748,-0.37371203303337097,-0.039185453206300735,0.19707438349723816,-0.3872585594654083,-0.010762366466224194,-0.23331479728221893,0.3314574062824249,0.02635246329009533,-0.025586815550923347,0.7819284200668335,-0.10763034224510193,-0.15585173666477203,0.8896468281745911,0.022344527766108513,0.14053228497505188,-0.17120690643787384,-0.008886807598173618,0.021742407232522964,-0.33580243587493896,0.1320759505033493,0.08659550547599792,-0.34069445729255676,-0.05429302155971527,-0.007014727685600519,0.14041012525558472,0.006200920324772596,0.00994047150015831,-0.018584562465548515,-0.033974774181842804,0.04208587855100632,-0.023634037002921104,0.025006400421261787,0.047958437353372574,-0.12872768938541412,0.055354632437229156,-0.016472674906253815,-0.10341436415910721,-0.18887606263160706,-0.17032045125961304,-0.12106943130493164,0.2951875329017639,0.214314267039299,-0.03251731023192406,-0.09601912647485733,-0.03762263059616089,0.0010246883612126112,-0.4757157564163208,-0.8809588551521301,0.016791541129350662,0.48560696840286255,0.7447916865348816,-0.10809241980314255,-0.9182752966880798,0.091221384704113,-0.15899474918842316,0.8298460245132446,-0.06942129135131836,-0.36272698640823364,-0.09543658047914505,0.5078935027122498,-0.24593915045261383,0.14564450085163116,-0.37347522377967834,-0.023241551592946053,-0.049473900347948074,1.2207390069961548,0.1804552525281906,-0.0011900067329406738,0.825340211391449,-0.6891173124313354,-0.3268665671348572,-0.5412237048149109,0.021030664443969727,-0.4609655439853668,-0.46983033418655396,-0.06716316938400269
50.0,1.134572982788086,-1.1331744194030762,-1.1902121305465698,-0.33830779790878296,-0.038468051701784134,0.18162603676319122,-0.35414382815361023,-0.008031303994357586,-0.209575816988945,0.3137400150299072,0.025441143661737442,-0.026034081354737282,0.7297792434692383,-0.10639429837465286,-0.14435385167598724,0.8341063857078552,0.019483286887407303,0.13486388325691223,-0.16746923327445984,-0.009973659180104733,0.021054383367300034,-0.31330013275146484,0.13583695888519287,0.07965530455112457,-0.32693052291870117,-0.05593997985124588,-0.004233893007040024,0.13998085260391235,0.005486820824444294,0.011128543876111507,-0.018787115812301636,-0.03398803994059563,0.04369254410266876,-0.02330540493130684,0.025106145069003105,0.04819566383957863,-0.12211548537015915,0.05266210064291954,-0.015933580696582794,-0.09502030909061432,-0.17759090662002563,-0.17992064356803894,-0.11577603220939636,0.2812928259372711,0.22647275030612946,-0.0299746822565794,-0.0903049036860466,-0.036102306097745895,0.015061127953231335,-0.4559336304664612,-0.8937008380889893,0.03157145529985428,0.46993765234947205,0.761709988117218,-0.10032474994659424,-0.8923338651657104,0.07740899175405502,-0.14970090985298157,0.814945638179779,-0.05992147698998451,-0.35904228687286377,-0.09902476519346237,0.4973020553588867,-0.2442595660686493,0.15008722245693207,-0.3660438358783722,-0.027687249705195427,-0.060435742139816284,1.233506441116333,0.1804552525281906,-0.0011900067329406738,0.825340211391449,-0.6891173124313354,-0.3268665671348572,-0.5412237048149109,0.021030664443969727,-0.4609655439853668,-0.46983033418655396,-0.06716316938400269
50.0,1.1372590065002441,-1.1309329271316528,-1.1946837902069092,-0.2999967336654663,-0.03643032908439636,0.16461099684238434,-0.3176383078098297,-0.004267258569598198,-0.1827181726694107,0.2956370413303375,0.024156587198376656,-0.02589699812233448,0.6741542816162109,-0.10422474890947342,-0.13142423331737518,0.7754026055335999,0.01699555665254593,0.12889517843723297,-0.16376423835754395,-0.011090523563325405,0.020335562527179718,-0.2873401343822479,0.14482000470161438,0.07285918295383453,-0.31606292724609375,-0.05758679658174515,-0.0023761827033013105,0.14017285406589508,0.004729242995381355,0.012127496302127838,-0.019014600664377213,-0.03383239358663559,0.045568037778139114,-0.0227903313934803,0.025162991136312485,0.04890552535653114,-0.11333710700273514,0.05046970769762993,-0.015946652740240097,-0.08705659955739975,-0.16554830968379974,-0.19069844484329224,-0.11155920475721359,0.26684311032295227,0.23996736109256744,-0.027627678588032722,-0.08582693338394165,-0.035188283771276474,0.029944924637675285,-0.4336947202682495,-0.9065699577331543,0.04812510311603546,0.4531581401824951,0.7807890176773071,-0.09163868427276611,-0.8593117594718933,0.06143336370587349,-0.1404469907283783,0.7946992516517639,-0.046823110431432724,-0.3543509840965271,-0.1011461541056633,0.4862889051437378,-0.24529984593391418,0.15396226942539215,-0.3597319424152374,-0.032279204577207565,-0.07187065482139587,1.247158408164978,0.1804552525281906,-0.0011900067329406738,0.825340211391449,-0.6891173124313354,-0.3268665671348572,-0.5412237048149109,0.021030664443969727,-0.4609655439853668,-0.46983033418655396,-0.06716316938400269
50.0,1.1574379205703735,-1.159546971321106,-1.1848841905593872,-0.20582297444343567,-0.03401448577642441,0.07917798310518265,-0.22906501591205597,-0.0015986247453838587,-0.07822470366954803,0.23678219318389893,0.02481994591653347,-0.027816826477646828,0.4590063691139221,-0.08423255383968353,-0.08069565147161484,0.5318719744682312,0.0022203021217137575,0.09240029752254486,-0.14621196687221527,-0.013434596359729767,0.01105695590376854,-0.16684886813163757,0.2351323813199997,0.07836958765983582,-0.2051648199558258,-0.09812106192111969,0.02228342369198799,0.12922997772693634,0.0029402899090200663,0.019531406462192535,-0.014186457730829716,-0.02905658446252346,0.037592288106679916,-0.014203427359461784,0.022086214274168015,0.03757613152265549,-0.07937714457511902,0.009146586060523987,-0.03217592462897301,-0.054840561002492905,-0.13109780848026276,-0.22407278418540955,-0.08359647542238235,0.2178003191947937,0.24865762889385223,-0.005049656145274639,-0.07287406176328659,-0.01265043392777443,0.08200234174728394,-0.37161532044410706,-0.9428164958953857,0.13775384426116943,0.37697628140449524,0.8554854393005371,-0.05414281040430069,-0.6159037351608276,-0.012392963282763958,-0.06112106516957283,0.6729546189308167,0.016123514622449875,-0.29356640577316284,-0.10935970395803452,0.3555387258529663,-0.20588801801204681,0.14916928112506866,-0.26837974786758423,-0.03698842227458954,-0.08369192481040955,1.286450743675232,0.1804552525281906,-0.0011900067329406738,0.825340211391449,-0.6891173124313354,-0.3268665671348572,-0.5412237048149109,0.021030664443969727,-0.4609655439853668,-0.46983033418655396,-0.06716316938400269
50.0,1.1697566509246826,-1.1783556938171387,-1.1794010400772095,-0.130567267537117,-0.03143671527504921,0.014735219068825245,-0.15641707181930542,0.0008510297047905624,-0.0020332850981503725,0.19239693880081177,0.025073722004890442,-0.028879571706056595,0.30218568444252014,-0.0706854909658432,-0.048153530806303024,0.3500944972038269,-0.005822880193591118,0.0659712702035904,-0.13312853872776031,-0.015632005408406258,0.00436906423419714,-0.07866565138101578,0.272065132856369,0.06936667859554291,-0.12459004670381546,-0.1161842942237854,0.044886115938425064,0.12087038159370422,0.0010665598092600703,0.0244123674929142,-0.010848268866539001,-0.02584853582084179,0.03220198675990105,-0.00801091082394123,0.019886914640665054,0.029703108593821526,-0.051349248737096786,-0.018905673176050186,-0.043235309422016144,-0.03007517196238041,-0.10504654049873352,-0.2497982680797577,-0.062155481427907944,0.18113602697849274,0.2570893168449402,0.013339788652956486,-0.06143958121538162,0.0034506330266594887,0.11898692697286606,-0.32135361433029175,-0.9690864086151123,0.2042376548051834,0.31655067205429077,0.9084355235099792,-0.02322542667388916,-0.4335504174232483,-0.06663443148136139,-0.0013763661263510585,0.5796266794204712,0.06293042004108429,-0.2466570883989334,-0.11527111381292343,0.26112523674964905,-0.17538298666477203,0.14606578648090363,-0.20292678475379944,-0.04163220897316933,-0.09526729583740234,1.315565586090088,0.1804552525281906,-0.0011900067329406738,0.825340211391449,-0.6891173124313354,-0.3268665671348572,-0.5412237048149109,0.021030664443969727,-0.4609655439853668,-0.46983033418655396,-0.06716316938400269
50.0,1.1664172410964966,-1.1774824857711792,-1.1831119060516357,-0.09352181106805801,-0.028665095567703247,-0.007822581566870213,-0.11622997373342514,0.0028737434186041355,0.017754577100276947,0.17705875635147095,0.02453073300421238,-0.028255891054868698,0.262475848197937,-0.07063594460487366,-0.051724258810281754,0.29228514432907104,-0.0008755858289077878,0.059953052550554276,-0.12901997566223145,-0.017537392675876617,0.002877210034057498,-0.05643744021654129,0.2033250629901886,0.03179113194346428,-0.10515373200178146,-0.08975909650325775,0.06354453414678574,0.11770206689834595,-0.0009766907896846533,0.0242330152541399,-0.010501419194042683,-0.025787925347685814,0.03200378641486168,-0.006625270005315542,0.019450349733233452,0.0287704486399889,-0.03528102859854698,-0.020337842404842377,-0.043953731656074524,-0.020327603444457054,-0.09598260372877121,-0.2603592574596405,-0.05379986763000488,0.16936318576335907,0.26524972915649414,0.023320317268371582,-0.0530749149620533,0.006631903816014528,0.1256624162197113,-0.2958310842514038,-0.9770748615264893,0.22378315031528473,0.2906809151172638,0.9211219549179077,-0.004977786913514137,-0.3748103678226471,-0.0848112478852272,0.020486848428845406,0.5450464487075806,0.07891331613063812,-0.22824032604694366,-0.1173286885023117,0.23941661417484283,-0.16297195851802826,0.14671850204467773,-0.18936407566070557,-0.04614470899105072,-0.10634931921958923,1.3242528438568115,0.1804552525281906,-0.0011900067329406738,0.825340211391449,-0.6891173124313354,-0.3268665671348572,-0.5412237048149109,0.021030664443969727,-0.4609655439853668,-0.46983033418655396,-0.06716316938400269
50.0,1.1646525859832764,-1.1767914295196533,-1.184715986251831,-0.06206878647208214,-0.02554536983370781,-0.023716406896710396,-0.08053218573331833,0.002809272613376379,0.030652035027742386,0.16083849966526031,0.024089403450489044,-0.027907630428671837,0.22138938307762146,-0.07255104929208755,-0.048467982560396194,0.24120359122753143,0.0024851735215634108,0.05398454889655113,-0.12372829020023346,-0.019252637401223183,0.0008220658055506647,-0.03689193353056908,0.17963755130767822,0.015374423936009407,-0.08799774944782257,-0.08346007764339447,0.07026640325784683,0.11272729933261871,-0.0019974287133663893,0.02306348644196987,-0.010149323381483555,-0.025344686582684517,0.030914461240172386,-0.0055265873670578,0.017737988382577896,0.029463395476341248,-0.021425876766443253,-0.022550135850906372,-0.044715411961078644,-0.009101370349526405,-0.08527617901563644,-0.2735859453678131,-0.045847512781620026,0.15820544958114624,0.2721211612224579,0.03198263794183731,-0.047346796840429306,0.008366752415895462,0.13530954718589783,-0.272355854511261,-0.9819701910018921,0.24319352209568024,0.2677886486053467,0.9309535026550293,0.006913754157721996,-0.3253411650657654,-0.0950268879532814,0.04297443851828575,0.5178725719451904,0.09080912172794342,-0.20609435439109802,-0.11895304918289185,0.21819870173931122,-0.1481415331363678,0.14747750759124756,-0.1715807318687439,-0.0503690242767334,-0.11634013801813126,1.3281508684158325,0.1804552525281906,-0.0011900067329406738,0.825340211391449,-0.6891173124313354,-0.3268665671348572,-0.5412237048149109,0.021030664443969727,-0.4609655439853668,-0.46983033418655396,-0.06716316938400269
