0.00500326,0.01265963,0.83205646,-0.00169461,0.71345776,0.70000595,0.03109416,-0.08842792,0.03132892,0.34265026,0.85701877,-0.45315173,0.00000000,-0.68202239,-0.25578609,-0.27218750,0.97360963,-0.22639014,-0.00000000,-0.36025926,0.10430794,0.50572163,-0.27076828,0.81621110,0.20932963,0.03990954,-0.00855996,-0.01767807,-0.00000000,0.25662869,-0.73395056,-0.27065581,0.17515837,0.01946274,-0.00400568,0.00000000
0.00148722,0.00775519,0.84295058,-0.00483825,0.70727682,0.70642132,0.02655224,-0.09003850,0.03503826,0.34187254,0.84942150,-0.44866091,0.00000000,-0.67599410,-0.25108099,-0.27508333,0.96838963,-0.22356185,-0.00000000,-0.36518699,0.09756309,0.49413806,-0.26935920,0.82311749,0.21536593,0.03932438,-0.00867014,-0.01840838,-0.00000000,0.26499102,-0.73729736,-0.27491724,0.17266248,0.01938423,-0.00516117,0.00000000
-0.00118129,0.00440778,0.85473281,-0.00835983,0.70096767,0.71278375,0.02266524,-0.09187707,0.03977871,0.34026960,0.84171224,-0.44280887,0.00000000,-0.66875249,-0.24571572,-0.27819461,0.96323061,-0.22033270,-0.00000000,-0.37010252,0.09021828,0.48017928,-0.26739365,0.83244121,0.22315669,0.03857037,-0.00883013,-0.01929339,-0.00000000,0.27444336,-0.74222106,-0.28033623,0.16923499,0.01929243,-0.00651694,0.00000000
-0.00215472,0.00417441,0.86829126,-0.01263743,0.69448191,0.71911860,0.02009144,-0.09417166,0.04658137,0.33701611,0.83377886,-0.43423432,0.00000000,-0.65908432,-0.23903035,-0.28173700,0.95819330,-0.21630186,-0.00000000,-0.37499371,0.08167353,0.46147019,-0.26431516,0.84660017,0.23445648,0.03747871,-0.00908973,-0.02048780,-0.00000000,0.28607577,-0.75029904,-0.28807035,0.16394427,0.01917410,-0.00827328,0.00000000
-0.00301617,0.00495397,0.88220567,-0.01554865,0.68748248,0.72586638,0.01562466,-0.09799930,0.05523199,0.33214325,0.82877260,-0.42450109,0.00000000,-0.64536554,-0.23198040,-0.28451985,0.95633197,-0.21243277,-0.00000000,-0.37789679,0.07244907,0.43790919,-0.26100820,0.86467636,0.24895063,0.03685019,-0.00938714,-0.02188514,-0.00000000,0.29673773,-0.76227438,-0.29837811,0.15699007,0.01898935,-0.01046848,0.00000000
-0.00382163,0.00623999,0.89629799,-0.01777531,0.68017381,0.73276424,0.01021043,-0.10259347,0.06480660,0.32646066,0.82523000,-0.41418853,0.00000000,-0.62962133,-0.22474808,-0.28692281,0.95605868,-0.20864458,0.00000000,-0.37980574,0.06288476,0.41192237,-0.25758702,0.88471127,0.26504198,0.03645325,-0.00970345,-0.02338394,-0.00000000,0.30691442,-0.77619880,-0.30997282,0.14920413,0.01877139,-0.01288309,0.00000000
-0.00386625,0.01219534,0.90632421,-0.02098583,0.66961545,0.74240130,0.00388464,-0.10832599,0.07634715,0.31818640,0.82994634,-0.40389785,0.00000000,-0.61175078,-0.21892859,-0.28753901,0.96028817,-0.20679514,-0.00000000,-0.37827790,0.05377822,0.38070449,-0.25550002,0.90972710,0.28440955,0.03761258,-0.00995244,-0.02496142,-0.00000000,0.31136248,-0.79705137,-0.32519427,0.13988282,0.01839621,-0.01562974,0.00000000
-0.00331821,0.01866984,0.91455829,-0.02393031,0.65842968,0.75225884,-0.00210061,-0.11412206,0.08795661,0.30922017,0.83796006,-0.39383003,0.00000000,-0.59510708,-0.21380316,-0.28789338,0.96510351,-0.20599979,-0.00000000,-0.37556678,0.04514603,0.34892356,-0.25420490,0.93574250,0.30405194,0.03970730,-0.01014922,-0.02645862,-0.00000000,0.31263524,-0.82003659,-0.34111413,0.13048209,0.01795712,-0.01837664,0.00000000
-0.00158484,0.02618261,0.91920811,-0.02634669,0.64614540,0.76272357,-0.00740217,-0.12004520,0.09970388,0.29887018,0.85256857,-0.38420767,0.00000000,-0.58091736,-0.21006577,-0.28772432,0.97109067,-0.20731266,0.00000000,-0.37048921,0.03746250,0.31601638,-0.25449368,0.96375710,0.32424414,0.04367277,-0.01024156,-0.02779527,-0.00000000,0.30755728,-0.84728706,-0.35843068,0.12092256,0.01739026,-0.02112405,0.00000000
0.00146722,0.02758412,0.92170262,-0.02636119,0.63305157,0.77356768,-0.01199219,-0.12696806,0.11180907,0.28693622,0.87413186,-0.37511379,0.00000000,-0.57246971,-0.20903060,-0.28719309,0.97653145,-0.21121097,0.00000000,-0.36247140,0.03057245,0.28563187,-0.25547996,0.99099797,0.34264958,0.05145857,-0.01016596,-0.02846228,-0.00000000,0.29432523,-0.87711000,-0.37511891,0.11221454,0.01666028,-0.02360678,0.00000000
0.00517864,0.02592998,0.92311960,-0.02517022,0.61944658,0.78446740,-0.01622371,-0.13439080,0.12409320,0.27421036,0.89917254,-0.36628413,0.00000000,-0.56689334,-0.20934652,-0.28648084,0.98169911,-0.21640189,0.00000000,-0.35298353,0.02407914,0.25650877,-0.25681517,1.01785183,0.36016169,0.06115454,-0.01000639,-0.02879447,-0.00000000,0.27701613,-0.90821892,-0.39149290,0.10393228,0.01584872,-0.02595717,0.00000000
0.01182983,0.02944318,0.91988820,-0.02147796,0.60758197,0.79371947,-0.01980672,-0.15155789,0.13640225,0.25993818,0.93178850,-0.35859120,0.00000000,-0.57028794,-0.21352899,-0.28536308,0.98770487,-0.22563718,0.00000000,-0.33644259,0.01765067,0.23907238,-0.25531480,1.03676915,0.37074184,0.08060062,-0.00953660,-0.02708632,0.00000000,0.24655916,-0.93792170,-0.40246570,0.09843723,0.01474620,-0.02760587,0.00000000
0.01941433,0.03320317,0.91706306,-0.01680162,0.59688950,0.80180222,-0.02353363,-0.17366412,0.14880162,0.24509224,0.96610272,-0.35140815,0.00000000,-0.57627660,-0.21871389,-0.28423053,0.99464667,-0.23603065,0.00000000,-0.31700361,0.01053611,0.22663343,-0.25206965,1.05155671,0.37832513,0.10372218,-0.00894650,-0.02458752,0.00000000,0.21213494,-0.96581608,-0.41104084,0.09408718,0.01355388,-0.02900344,0.00000000
0.02886544,0.03745675,0.91505021,-0.01016467,0.58873355,0.80779344,-0.02755392,-0.20564850,0.16138151,0.22909889,1.00381362,-0.34524491,0.00000000,-0.58745348,-0.22590366,-0.28306851,1.00346041,-0.24874058,0.00000000,-0.29176825,0.00204935,0.22418934,-0.24533498,1.05808473,0.37991473,0.13419476,-0.00811581,-0.02050738,0.00000000,0.16977620,-0.99009395,-0.41482037,0.09202719,0.01218192,-0.02989870,0.00000000
0.04149548,0.04799042,0.91201252,-0.00317846,0.58122277,0.81330079,-0.02668062,-0.25568673,0.17488483,0.21252167,1.03914618,-0.34120837,0.00000000,-0.60025102,-0.23405620,-0.28131220,1.01718998,-0.26296830,0.00000000,-0.25991046,-0.00975361,0.23558359,-0.23351221,1.05204105,0.37350169,0.17147589,-0.00699482,-0.01495712,0.00000000,0.12192417,-1.00630772,-0.41198337,0.09309751,0.01064782,-0.03016455,0.00000000
0.05571497,0.06166413,0.90846241,0.00398203,0.57399803,0.81851381,-0.02335888,-0.31475186,0.18884984,0.19565251,1.07328987,-0.33823520,0.00000000,-0.61385912,-0.24269021,-0.27925876,1.03337753,-0.27795488,0.00000000,-0.22474138,-0.02321468,0.25389704,-0.21914539,1.03971195,0.36308727,0.21216118,-0.00572869,-0.00867179,0.00000000,0.07132546,-1.01848912,-0.40583792,0.09573298,0.00903265,-0.03011568,0.00000000
